#Release 13.4 - par O.87xd (lin64)
#Copyright (c) 1995-2011 Xilinx, Inc.  All rights reserved.

#Tue Mar 12 19:24:08 2013

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       system_map.ncd
#OUTPUT FILE:      system_pad.csv
#PART TYPE:        xc5vtx240t
#SPEED GRADE:      -2
#PACKAGE:          ff1759
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
A2,nf10_10g_interface_1_xaui_rx_l2_p_pin,IPAD,MGTRXP1_124,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A3,nf10_10g_interface_1_xaui_rx_l2_n_pin,IPAD,MGTRXN1_124,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A4,nf10_10g_interface_1_xaui_rx_l3_n_pin,IPAD,MGTRXN0_124,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A5,nf10_10g_interface_1_xaui_rx_l3_p_pin,IPAD,MGTRXP0_124,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A6,,,GND,,,,,,,,,,,,
A7,,,GND,,,,,,,,,,,,
A8,nf10_10g_interface_2_xaui_rx_l0_p_pin,IPAD,MGTRXP1_128,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A9,nf10_10g_interface_2_xaui_rx_l0_n_pin,IPAD,MGTRXN1_128,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A10,nf10_10g_interface_2_xaui_rx_l1_n_pin,IPAD,MGTRXN0_128,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A11,nf10_10g_interface_2_xaui_rx_l1_p_pin,IPAD,MGTRXP0_128,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A12,,,GND,,,,,,,,,,,,
A13,,,GND,,,,,,,,,,,,
A14,nf10_10g_interface_2_xaui_rx_l2_p_pin,IPAD,MGTRXP1_132,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A15,nf10_10g_interface_2_xaui_rx_l2_n_pin,IPAD,MGTRXN1_132,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A16,nf10_10g_interface_2_xaui_rx_l3_n_pin,IPAD,MGTRXN0_132,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A17,nf10_10g_interface_2_xaui_rx_l3_p_pin,IPAD,MGTRXP0_132,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A18,,,GND,,,,,,,,,,,,
A19,,,GND,,,,,,,,,,,,
A20,,IOBM,IO_L14P_7,UNUSED,,7,,,,,,,,,
A21,,IOBS,IO_L14N_VREF_7,UNUSED,,7,,,,,,,,,
A22,,IOBS,IO_L11N_CC_7,UNUSED,,7,,,,,,,,,
A23,,,GND,,,,,,,,,,,,
A24,,,GND,,,,,,,,,,,,
A25,,,GND,,,,,,,,,,,,
A26,nf10_10g_interface_3_xaui_rx_l0_p_pin,IPAD,MGTRXP0_131,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A27,nf10_10g_interface_3_xaui_rx_l0_n_pin,IPAD,MGTRXN0_131,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A28,nf10_10g_interface_3_xaui_rx_l1_n_pin,IPAD,MGTRXN1_131,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A29,nf10_10g_interface_3_xaui_rx_l1_p_pin,IPAD,MGTRXP1_131,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
A30,,,GND,,,,,,,,,,,,
A31,,,GND,,,,,,,,,,,,
A32,nf10_10g_interface_3_xaui_rx_l2_p_pin,IPAD,MGTRXP0_127,INPUT,,,,,,NONE,,UNLOCATED,NO,NONE,
